DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,AL,2017,36.8,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,AL,2018,35.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,AL,2019,34.3,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,AL,2020,33.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,AL,2021,33.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,AT,2014,27.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,AT,2015,27.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,AT,2016,27.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,AT,2017,27.9,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,AT,2018,26.8,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,AT,2019,27.5,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,AT,2020,27.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,AT,2021,26.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,AT,2022,27.8,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BE,2014,25.9,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BE,2015,26.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BE,2016,26.3,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BE,2017,26.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BE,2018,25.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BE,2019,25.1,b
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BE,2020,25.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BE,2021,24.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BE,2022,24.9,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BE,2023,24.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BG,2014,35.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BG,2015,37.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BG,2016,37.7,b
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BG,2017,40.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BG,2018,39.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BG,2019,40.8,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BG,2020,40.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BG,2021,39.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BG,2022,38.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,BG,2023,37.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CH,2014,29.5,b
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CH,2015,29.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CH,2016,29.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CH,2017,30.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CH,2018,29.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CH,2019,30.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CH,2020,31.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CH,2021,31.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CH,2022,31.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CY,2014,34.8,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CY,2015,33.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CY,2016,32.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CY,2017,30.8,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CY,2018,29.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CY,2019,31.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CY,2020,29.3,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CY,2021,29.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CY,2022,29.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CZ,2014,25.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CZ,2015,25.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CZ,2016,25.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CZ,2017,24.5,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CZ,2018,24.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CZ,2019,24.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CZ,2020,24.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CZ,2021,24.8,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,CZ,2022,24.8,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,DE,2014,30.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,DE,2015,30.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,DE,2016,29.5,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,DE,2017,29.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,DE,2018,31.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,DE,2019,29.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,DE,2020,30.5,b
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,DE,2021,31.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,DE,2022,29.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,DK,2014,27.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,DK,2015,27.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,DK,2016,27.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,DK,2017,27.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,DK,2018,27.8,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,DK,2019,27.5,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,DK,2020,27.3,b
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,DK,2021,27.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,DK,2022,27.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EA19,2014,31.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EA19,2015,30.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EA19,2016,30.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EA19,2017,30.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EA19,2018,30.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EA19,2019,30.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EA19,2020,30.3,b
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EA19,2021,30.5,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EA20,2014,30.9,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EA20,2015,30.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EA20,2016,30.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EA20,2017,30.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EA20,2018,30.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EA20,2019,30.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EA20,2020,30.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EA20,2021,30.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EA20,2022,29.9,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EE,2014,35.6,b
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EE,2015,34.8,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EE,2016,32.7,
